cite	journal	year	times_cited	abstract	author_count	authors
Harding, David. 2009. 'Violence, Older Peers, and the Socialization of Adolescent Boys in Disadvantaged Neighborhoods.' American Sociological Review. 74:3 445-464.	American Sociological Review	2009	19	Most theoretical perspectives on neighborhood effects on youth assume that neighborhood context serves as a source of socialization. The exact source v and Processes underlying adolescent socialization in disadvantaged neighborhoods, however: are largely unspecified and unelaborated. This article proposes that cross-cohort socialization by older neighborhood peers is one source of socialization for adolescent boys. Data from the National Educational Longitudinal Survey suggest that adolescents in disadvantaged neighborhoods are more likely to spend time with older individuals. I analyze qualitative interview data from 60 adolescent boys in three neighborhoods in Boston to understand the causes and consequences of these interactions and relationships. Some of the strategies these adolescents employ to cope with violence in disadvantaged neighborhoods promote interaction with older peers, particularly, those who are most disadvantaged. Furthermore, such interactions can expose adolescents to local, unconventional, or alternative cultural models.	1	David J. Harding
Petts, Richard. 2009. 'Family and Religious Characteristics' Influence on Delinquency Trajectories From Adolescence to Young Adulthood.' American Sociological Review. 74:3 465-483.	American Sociological Review	2009	5	This study takes a life-course approach to examine whether family, and religious characteristics influence individual-level delinquency, trajectories from early adolescence through young adulthood. Based oil data from the NLSY79, results suggest that residing with two parents deters youths from becoming delinquent and that supportive parenting practices reduce their likelihood of becoming involved in delinquent behavior early in adolescence. There is also evidence that family, and religion interact to predict delinquency trajectories. Religion enhances the effect of parental affection in deterring delinquent behavior and mitigates the increased risk of high levels of delinquent behavior among youths in single-parent families. Moreover the findings indicate that delinquency trajectories are not immutable; family transitions are associated with increases in delinquency, bill religious participation throughout adolescence and marriage are associated with declines in delinquent behavior Overall, results suggest that family and religious characteristics continually influence the event to which youths commit delinquent acts.	1	Richard J. Petts
Kirk, David. 2009. 'a Natural Experiment on Residential Change and Recidivism: Lessons From Hurricane Katrina.' American Sociological Review. 74:3 484-505.	American Sociological Review	2009	13	Ex-prisoners tend to be geographically concentrated in a relatively small number of neighborhoods within the most resource deprived sections of metropolitan areas. Furthermore, many prisoners return ``home'' to the same criminogenic environment with the same criminal opportunities and criminal peers that proved so detrimental prior to incarceration. Yet estimating the causal impact of place of residence on the likelihood of recidivism is complicated by the issue of selection bias. In this study, I use a natural experiment as a means of addressing the selection issue and examine whether the migration of ex-prisoners away from their former place of residence will lead to lower levels of recidivism. In August 2005, Hurricane Katrina ravaged the Louisiana Gulf Coast, damaging many of the neighborhoods where ex-prisoners typically reside. The residential destruction resulting from Hurricane Katrina is an exogenous source of variation that influences where a parolee will reside upon release from prison. Findings reveal that moving away from former geographic areas substantially lowers a parolee likelihood of re-incarceration.	1	David S. Kirk
Warren, Mark. 2009. 'Community Organizing in Britain: the Political Engagement of Faith-based Social Capital.' City \& Community. 8:2 99-127.	City \& Community	2009	3	Faith-based community organizing in the United States has emerged as one of the most effective ways to rebuild democratic life in urban communities. Scholars have argued that the success of modern community organizing lies in its ability to engage the social capital embedded in religious congregations. I examine this claim through a comparatively set case study of the effort to apply an American community organizing strategy in Britain. Using interviews, observations, and documentary sources, I analyze the experience of the British Citizens Organizing Foundation (COF), which is affiliated to the U.S.-based Industrial Areas Foundation. I find that the COF has attained more national influence than its American counterpart, but its local foundations remain much weaker. The relative weakness of faith-based social capital in Britain only partly explains this result. The orientations of religious institutions toward political engagement also matter, and so does the relative power of local versus national political institutions. I argue for bringing a more institutional approach to our theoretical understanding of community organizing and of the role of social capital in revitalizing democratic life more broadly.	1	Mark R. Warren
Vallejo, Jody. 2009. 'Latina Spaces: Middle-class Ethnic Capital and Professional Associations in the Latino Community.' City \& Community. 8:2 129-154.	City \& Community	2009	5	This article examines the incorporation of middle-class Latinas in Southern California. Based on three years of participant observation, 30 in-depth interviews, and 50 conversational interviews with the organization's members, I find that the upwardly mobile Latinas mobilize ``middle-class ethnic capital'' to create professional associations in ethnic communities that provide valuable business skills, networks, and social capital to coethnics. Members of the organization realize that they must approximate the normative business standards of white middle-class business culture to get ahead, yet they feel that it is vital to retain their ethnic identity and provide resources to the ethnic community. While contemporary immigration research maintains the Latino ethnic communities lack the ``high-quality resources'' that might buffer against downward assimilation and advance upward mobility, these findings suggest that it takes one or two extra generations for Latinos to mobilize class and ethnic resources to promote mobility.	1	Jody Agius Vallejo
Holliday, Amy & Rachel Dwyer. 2009. 'Suburban Neighborhood Poverty in Us Metropolitan Areas in 2000.' City \& Community. 8:2 155-176.	City \& Community	2009	6	Suburban areas have become more diverse and stratified in the United States, with a particularly striking increase in poverty, challenging theories that conceptualize poverty predominantly as a central city phenomenon. Little scholarly work has examined suburban poverty, however, and the small existing literature focuses primarily on inner-ring suburbs in the Northeast and Midwest and relies too much on the concentric zone model of metropolitan development. We use Census 2000 summary data to examine the prevalence and form, characteristics, and determinants of suburban poverty at the neighborhood and metropolitan levels across the entire country. We draw on more sophisticated ecological and place stratification perspectives and argue that suburban poverty manifests in more varied forms than the typical model and diverges in crucial respects from central city poverty. Our results identify a particularly distinctive racial profile for suburban poverty, associated especially with Hispanic residential location, with implications for trends in racial segregation as well.	2	Amy L. Holliday; Rachel E. Dwyer
Knudson, Paul. 2009. 'Coalition Formation and Metropolitan Contention: an Analysis of the Politics of Light-rail Transit in the Twin Cities of Minnesota.' City \& Community. 8:2 177-195.	City \& Community	2009	1	This article, by examining the planning, development, construction, and operation of the Hiawatha light-rail transit line in the Twin Cities of Minnesota, attempts to further the understanding of coalition-building between lawmakers in urban and suburban areas, as well as those at the local, state, and federal levels, and how this cooperation affects metropolitan areas. The analysis relies on primary and secondary data from local newspapers, radio transcripts, and organization websites and materials from 1995 to 2007 to examine the political processes surrounding the project. Previous research on coalition-building strategies and regionalism informs the theoretical approach of the article. Key findings suggest that traffic congestion acts as a powerful motivator for uniting urban and suburban interests. The research also supports previous findings that big-city mayors seldom take the lead in promoting regional cooperation. In addition, findings suggest that governor-brokered coalitions can be relatively unstable, and that the possibility for receiving federal funds promotes regional cooperation along the lines of transportation issues.	1	Paul T. Knudson
Herzfeld, Michael. 2009. 'the Cultural Politics of Gesture Reflections on the Embodiment of Ethnographic Practice.' Ethnography. 10:2 131-152.	Ethnography	2009	8	Ethnographers enter the field as legible signs of otherness to their interlocutors. In this article, I explore the ramifications of my personal experience of being variously `read' in the course of encounters in Bangkok, Thailand, to show how a gradual process of bodily inculcation can reduce the sense of difference and partially overcome the expectations induced by phenotype in particular, leading to greater access to the protected zones of cultural intimacy (including recognition of the newcomer's linguistic capacities). Such transitions also entail a learned increase of ease with informal modes of embodiment, as opposed to postures signaling varieties of power that are intrusive and palpably foreign to local experience. The processes of mutual recognition thus described are embedded in political relations of international as well as inter-personal significance. They thus have multi-faceted consequences for the outcomes and implications of our research.	1	Michael Herzfeld
Cohen, Einat. 2009. 'Survival, an Israeli Ju Jutsu School of Martial Arts Violence, Body, Practice and the National.' Ethnography. 10:2 153-183.	Ethnography	2009	4	Nationalism is the untenable union of the impersonal, mechanistic, bureaucratic logic of the state and the intimate, emotional, organic logic of the nation. While practicing martial arts, the participants at the Israeli Survival School of Ju Jutsu create a utopian Israeliness, using bits of state-national understandings to form a family-like organicity. At the North Indian school of wrestling described by Joseph Alter, too, an organic utopian nationalism is practiced into existence through meticulous care for the body itself. A comparison between those modes of embodying the national, set in very different cultural and national realities, reveals not only different understandings of the national and of its organic nature, but also different uses of semiotic mechanisms. Whereas the Israeli world of the Survival School is based on representation, the Indian one is constructed from the body and the environment, set in dense connectedness forming this world in and of itself.	1	Einat Bar-On Cohen
Adams, Jill. 2009. 'the Civil Restraining Order Application Process Textually Mediated Institutional Case Management.' Ethnography. 10:2 185-211.	Ethnography	2009	0	Although the civil restraining order is the most commonly sought legal initiative to combat intimate partner violence in British Columbia (BC), no known qualitative research has assessed the application process, and previous quantitative research presents mixed findings. Using interviews, observations, and textual analyses, this institutional ethnography critically analyzes the civil restraining order application process in the BC Provincial Court. Particular attention is paid to disjunctures between abused women's experiential knowledge and what becomes formally known to practitioners who manage their cases. Findings unveil that abused women's lived experience with violence is transformed and shaped into accounts in which their safety needs disappear. Court practitioners become immersed in textually mediated activity within a legal ruling apparatus that emphasizes timely completion of a large quantity of cases, with little or no commitment to quality solutions.	1	Jill Adams
Carter, Katherine & Judy Aulette. 2009. 'Creole in Cape Verde Language, Identity and Power.' Ethnography. 10:2 213-236.	Ethnography	2009	0	Cape Verde is an island country 450 kilometers off the coast of Senegal, West Africa. Creole is the common language throughout Cape Verde but Portuguese is the official language, the language of its colonizer. Through surveys and interviews, this article reveals the power inequalities that exist among Cape Verdeans because of language use. We particularly explore the perceptions of the significance of speaking Creole in order to fully understand the culture of Cape Verde. As a way to investigate the importance of Creole to Cape Verdean identity, we focus on the use of Creole proverbs and sayings by the women in Cape Verde as they express solidarity, provide support, and show criticism of power structures in the society. Through their use of Creole, Cape Verdeans are preserving their history and local identity as different from their colonizers as well as using the language and the proverbs as ways to challenge the dominant contemporary power structures.	2	Katherine Carter; Judy Aulette
Wade, Lisa. 2009. 'Defining Gendered Oppression in Us Newspapers the Strategic Value of ``female Genital Mutilation''.' Gender \& Society. 23:3 293-314.	Gender \& Society	2009	6	According to the logic of the gendered modernity/tradition binary, women in traditional societies are oppressed and women in modern societies liberated. While the binary valorizes modern women, it potentially erases gendered oppression in the West and undermines feminist movements on behalf of Western women. Using U. S. newspaper text, I ask whether female genital cutting (FGC) is used to define women in modern societies as liberated. I find that speakers use FGC to both uphold and challenge the gendered modernity/tradition binary. Speakers use FGC to denigrate non-Western cultures and trivialize the oppressions that U. S. women typically encounter, but also to make feminist arguments on behalf of women everywhere. I argue that in addition to examining how culturally imperialist logics are reproduced, theorists interested in feminist postcolonialism should turn to the distribution of such logics, emphasizing the who, where, when, and how of reinscription of and resistance to such narratives.	1	Lisa Wade
Martin, Karin & Emily Kazyak. 2009. 'Hetero-romantic Love and Heterosexiness in Children's G-rated Films.' Gender \& Society. 23:3 315-336.	Gender \& Society	2009	7	In this article, the authors examine accounts of heterosexuality in media for children. The authors analyze all the G-rated films grossing \$100 million dollars or more between 1990 and 2005 and find two main accounts of heterosexuality. First, heterosexuality is constructed through hetero-romantic love relationships as exceptional, powerful, magical, and transformative. Second, heterosexuality outside of relationships is constructed through portrayals of men gazing desirously at women's bodies. Both of these findings have implications for our understanding of heteronormativity. The first is seemingly at odds with theories that claim that heterosexuality's mundane, assumed, everyday ordinariness lends heteronormativity its power. In fact, the authors suggest heterosexual exceptionalism may extend the pervasiveness of heterosexuality and serve as a means of inviting investment in it. The second offers ways to begin to think about how heteronormativity is gendered and racialized.	2	Karin A. Martin; Emily Kazyak
Guenther, Katja. 2009. 'the Impact of Emotional Opportunities on the Emotion Cultures of Feminist Organizations.' Gender \& Society. 23:3 337-362.	Gender \& Society	2009	3	A fundamental debate within feminist scholarship and activism centers on what relationship feminism should have with the state. This article explores this debate empirically by examining differences in the emotion cultures of a state-dependent and an autonomous feminist organization in postsocialist eastern Germany. The comparative analysis demonstrates how organizations construct specific emotion cultures in response to emotional opportunities and constraints created by their relationships with state institutions. The state-dependent organization adopts a less expressive emotion culture that assures broad public appeal and future state support, but does not build critical consciousness among participants. In contrast, the autonomous organization encourages displays of feelings as part of consciousness raising, creating an emotion culture that reduces public appeal but produces especially loyal and active constituents.	1	Katja M. Guenther
Vespa, Jonathan. 2009. 'Gender Ideology Construction a Life Course and Intersectional Approach.' Gender \& Society. 23:3 363-387.	Gender \& Society	2009	9	Using life course and intersectional perspectives, this study examines how changes in life experiences such as marriage, parenthood, and work are associated with changes in individuals' gender ideology. Using longitudinal survey data and fixed effects, findings suggest that exposure to these experiences influences gender ideology, though with greater variation than previous work has detected. Marriage exerts an egalitarian influence on Blacks but a less egalitarian one on whites. Parenthood has a less egalitarian effect for all married parents but an egalitarian one for most unmarried parents. These findings suggest that gender ideology is dynamic and life experiences are important sources of change. Furthermore, this change depends on individuals' race-gender categories and the configuration of life events to which they are exposed. These nuanced findings amend past work by better identifying for whom and under which conditions life experiences shape gender ideology. In doing so, this study illustrates how the conceptual and methodological approaches help us understand gender ideology construction by revealing substantial variation that went undetected in past work.	1	Jonathan Vespa
Loscocco, Karyn, Shannon Monnat, Gwen Moore & Kirsten Lauber. 2009. 'Enterprising Women a Comparison of Women's and Men's Small Business Networks.' Gender \& Society. 23:3 388-411.	Gender \& Society	2009	4	This study demonstrates the importance of social context to the study of networks vital to business success. Results from analyses of the personal and business characteristics associated with different types of networks, a topic that has been neglected in past research, show the importance of structural perspectives emphasizing that women and men in the same situations have similar networks. Yet there are some network differences even among these women and men who operate the same kinds of businesses. This suggests that insights from gender construction perspectives should be integrated into network and other gender inequality studies.	4	Karyn Loscocco; Shannon M. Monnat; Gwen Moore; Kirsten B. Lauber
Hao, Lingxin & Julie Kim. 2009. 'Immigration and the American Obesity Epidemic.' International Migration Review. 43:2 237-262.	International Migration Review	2009	5	Immigration is an important population dynamic at work in the U.S., but we know little about its impact on American obesity. Built on nutrition transition and immigration theories, this paper provides explanations for immigrants' initial body composition advantage, its partial erosion over time, and the gender difference in the erosion. We find evidence that the American obesity epidemic would be much more severe without the mass immigration that began in 1965. In addition to confirming the erosion in immigrants' body composition advantage, we further find that this erosion is weaker for men than for women. Once immigration's impact is teased out, racial/ethnic disparities in body composition greatly differ from what we observe. This study provides gender-specific estimates for the differences in obesity by nativity and residence duration and the net level of Hispanic-white and Asian-white disparities at the mean body mass index (BMI) as well as the overweight, Stage-1, and Stage-2 obesity cutoffs. Our findings suggest that immigration must be taken into account when addressing public health concerns.	2	Lingxin Hao; Julie J. Kim
Kahanec, Martin & Mehmet Tosun. 2009. 'Political Economy of Immigration in Germany: Attitudes and Citizenship Aspirations.' International Migration Review. 43:2 263-291.	International Migration Review	2009	2	This paper examines resident foreigners' interest in German citizenship. We use a unique data set from a survey of foreign residents in the German states to study the roles played by factors such as attitudes towards foreigners and political interest of foreigners. We find that negative attitudes towards foreigners and generational conflict within foreigner families are significant negative factors. While interest in political participation is among the important positive factors, hostile attitudes, lack of voting rights, or uncertainty about staying in Germany mainly discourage foreigners who actively participate in the labor market, have more years of schooling, and are younger.	2	Martin Kahanec; Mehmet Serkan Tosun
Sanderson, Lynda. 2009. 'International Mobility of New Migrants to Australia.' International Migration Review. 43:2 292-331.	International Migration Review	2009	2	Statistical models for residential spells and mobility data are used to examine the probability of repeat and return migration and ongoing mobility among New Zealand and British citizens who migrated to Australia between August 1999 and July 2002. The paper focuses on identifying the relationship between ongoing mobility patterns and personal and environmental circumstances, including institutional barriers to immigration and a discrete change in the social welfare eligibility of New Zealanders in Australia. The results confirm that ongoing migration patterns are far more complex than traditional migration paradigms suggest, with repeat and return migration and ongoing mobility being an important part of actual migration experiences.	1	Lynda Sanderson
Allen, Ryan. 2009. 'Benefit or Burden? Social Capital, Gender, and the Economic Adaptation of Refugees.' International Migration Review. 43:2 332-365.	International Migration Review	2009	2	This paper examines the role of co-ethnic social capital on the earnings of refugees, using a unique data set for adult refugees who resettled in Portland, Maine, between 1998 and 2004. Multiple regression models test the effect of access to co-ethnic social capital on the log earnings of refugees in their first and most recent years of work. Results show that over time access to co-ethnic social capital upon arrival decreased earnings for female refugees. The paper concludes with a discussion of the implications of the findings for social capital and immigration research.	1	Ryan Allen
Buzdugan, Raluca & Shiva Halli. 2009. 'Labor Market Experiences of Canadian Immigrants With Focus on Foreign Education and Experience.' International Migration Review. 43:2 366-386.	International Migration Review	2009	6	Recent Canadian immigrants have increasing education levels but decreasing earnings, partly due to the devaluation of foreign education and work experience. This study uses 2002 Ethnic Diversity Survey data and examines the value attributed to foreign education for immigrants based on their duration of stay in Canada, which proves to be an important methodological distinction. Immigrants from developing countries experience the most acute devaluation. The findings outline the limitations of human capital theory in explaining the labor market experience of Canadian immigrants and have implications for the current ``point system'' used to select immigrants to Canada.	2	Raluca Buzdugan; Shiva S. Halli
Boehlmark, Anders. 2009. 'Integration of Childhood Immigrants in the Short and Long Run - Swedish Evidence.' International Migration Review. 43:2 387-409.	International Migration Review	2009	1	Immigrant children are often at a disadvantage at school while they adjust to their new environment. It has been found that the age at immigration of 7 or above represents a sensitive period as regards these children's school performance for two main reasons: they have passed their prime age for language learning, and their acquisition of subject skills is less efficient while they learn to master the new language. Using Swedish administrative data, we track childhood immigrants born between 1972 and 1976 over time from adolescence (at 16) to adulthood (at 30), and study the role of age at immigration for educational and labor market outcomes. We find that immigration at a sensitive age (compared to a very young age) has a strong negative impact on compulsory school performance, but that the same individuals catch up strongly in terms of final educational attainment. In spite of this educational catching up, however, we find a considerable negative impact on earnings for men. We are able to rule out two potential mechanisms behind this puzzling result: It cannot be explained either by an impact on the chosen field of study or on completion time.	1	Anders Boehlmark
Chew, Kenneth, Mark Leach & John Liu. 2009. 'the Revolving Door to Gold Mountain: How Chinese Immigrants Got Around Us Exclusion and Replenished the Chinese American Labor Pool, 1900-1910.' International Migration Review. 43:2 410-430.	International Migration Review	2009	0	This study provides a quantitative perspective on the Chinese American migratory system of the late 19th and early 20th centuries, including the magnitude of various means for evading the U.S. embargo on Chinese immigration. Three sources are explored, including federal immigration summaries, census microdata, and a sample of person-voyage records for steamship arrivals at the port of San Francisco (n = 5,707). Whereas parameter estimates vary among the sources from nearly twofold (gross migration) up to fourfold (net migration), all results are consistent with a revolving-door system in which young male workers arrived as replacements for departing older male workers.	3	Kenneth Chew; Mark Leach; John M. Liu
Martin, Philip & Manolo Abella. 2009. 'Migration and Development: the Elusive Link at the Gfmd.' International Migration Review. 43:2 431-439.	International Migration Review	2009	2		2	Philip Martin; Manolo Abella
Collett, Jessica & Omar Lizardo. 2009. 'a Power-control Theory of Gender and Religiosity.' Journal for the Scientific Study of Religion. 48:2 213-231.	Journal for the Scientific Study of Religion	2009	18	The fact that women are more religious than men is one of the most consistent findings in the sociology of religion. Miller and Stark (2002) propose that a gender difference in risk preference of physiological origin might explain this phenomenon. While acknowledging the utility of their risk-preference mechanism, we believe that their assumption regarding the genesis of this difference is a premature concession to biology. Returning to Miller's original paper on gender, risk, and religiosity, we draw on power-control theory (PCT), developed in the work of John Hagan and colleagues, to introduce a plausible socialization account for these differences. We evaluate these claims using data from the General Social Survey. Women raised by high-socioeconomic status (SES) mothers are less religious than women raised by low-education mothers, but mother's SES has little effect on men's chances of being irreligious and father's SES has a negligible effect on the gender difference in religiosity.	2	Jessica L. Collett; Omar Lizardo
Mayrl, Damon & Freeden Oeur. 2009. 'Religion and Higher Education: Current Knowledge and Directions for Future Research.' Journal for the Scientific Study of Religion. 48:2 260-275.	Journal for the Scientific Study of Religion	2009	16	In light of increased scholarly and public discussion about the proper position of religion in higher education, we take stock of existing social scientific studies to illuminate what we know-and what we don't know-about religion and higher education. We argue that research shows that college students are more religiously engaged than has traditionally been thought, but that this interest appears to be more broad than deep; that the college experience does not lead to apostasy in most students, though its effect on students' religious engagements is still unclear; and that religion has a beneficial effect on some student outcomes, but not on others. We conclude by proposing three new directions for research that offer the potential to expand our understanding of the interaction of religion and higher education.	2	Damon Mayrl; Freeden Oeur
Ecklund, Elaine & Jerry Park. 2009. 'Conflict Between Religion and Science Among Academic Scientists?.' Journal for the Scientific Study of Religion. 48:2 276-292.	Journal for the Scientific Study of Religion	2009	9	Using new survey data (N = 1,646), we examine the attitudes academic scientists at 21 elite U.S. research universities have about the perceived conflict between religion and science. In contrast to public opinion and scholarly discourse, most scientists do not perceive a conflict between science and religion. Different from what other studies would indicate, this belief does not vary between social and natural scientists. We argue that maintaining plausibility frameworks for religion is an important correlate of whether scientists will reject the conflict paradigm, with such frameworks taking surprising forms. When scientists do not attend religious services they are more likely to accept the conflict paradigm. When scientists think their peers have a positive view of religion, they are less likely to agree there is a conflict between science and religion. Religious upbringing is associated with scientists adopting the conflict paradigm. Spirituality is much more important in this population than other research would lead us to believe. Results reformulate widely cited earlier research, offer new insights about how scientists view the connection between religion and science, and expand public discussion about religious challenges to science.	2	Elaine Howard Ecklund; Jerry Z. Park
Krause, Neal & Christopher Ellison. 2009. 'the Doubting Process: a Longitudinal Study of the Precipitants and Consequences of Religious Doubt in Older Adults.' Journal for the Scientific Study of Religion. 48:2 293-312.	Journal for the Scientific Study of Religion	2009	15	Religious doubt arises from a process in which there is a precipitant, the experience of doubt, a coping response, and a health-related outcome. We assess whether social factors precipitate doubt and the coping responses that are invoked to deal with doubt. We evaluate whether these coping responses are, in turn, associated with health. Over time, people who encounter more negative interaction with fellow congregants have more doubts about religion, whereas more spiritual support and greater involvement in prayer groups are associated with less religious doubt. People who encounter more negative interaction are more likely to suppress religious doubts, but people who attend Bible study groups are more likely to seek spiritual growth when faced with doubt. Suppressing religious doubt is associated with less favorable health, whereas seeking spiritual growth has no significant effect.	2	Neal Krause; Christopher G. Ellison
Knoll, Benjamin. 2009. '``and Who Is My Neighbor?'' Religion and Immigration Policy Attitudes.' Journal for the Scientific Study of Religion. 48:2 313-331.	Journal for the Scientific Study of Religion	2009	13	This study explores immigration reform as a possible new ``moral'' issue upon which American religious elites and organizations take public positions. It is argued that religion is a key independent variable necessary for understanding the determinants of public attitudes regarding immigration policy. Theoretical expectations are formed from the ethnoreligious, religious restructuralism, and minority marginalization frameworks. Quantitative evidence is presented, that demonstrates that those who attend religious services more frequently are more likely to support liberal immigration reform policies. Members of minority religions, notably Jews and Latter-day Saints, are also more likely to empathize with the plight of undocumented immigrants and support liberal immigration reform measures.	1	Benjamin R. Knoll
Miller, Jon & Gregory Stanczak. 2009. 'Redeeming, Ruling, and Reaping: British Missionary Societies, the East India Company, and the India-to-china Opium Trade.' Journal for the Scientific Study of Religion. 48:2 332-352.	Journal for the Scientific Study of Religion	2009	1	At the end of the 19th century, British missionaries campaigned to abolish the India-to-China opium trade, whose profits were crucial for British ambitions in Asia. This challenge by the missionaries had been slow to emerge, however, and focusing only on that well-known opposition masks the preceding half-century of accommodations and compromises with the opium traffic, both on the production end (Bengal) and on the receiving end (in Macau and Canton). Our research addresses the subjective calculus that was at work for the missionaries and asks how their reading of that calculus affected their movement across the spectrum from unconcern to outrage about opium. At the core of their enterprise from beginning to end was their unwavering commitment to the evangelical ``Great Commission,'' which spelled out the obligation to bring the Christian gospel to unsaved multitudes around the world. We argue that they consistently embraced whatever was pragmatically necessary to advance that goal and resisted whatever threatened to block movement toward it. Beneath changeability on the surface, a thread of value-rational coherence ran through a century of calculated and strategic missionary activity. The same thread is likely to be in evidence in other theaters of global evangelism where missionaries were (are) involved in secular controversies.	2	Jon Miller; Gregory Stanczak
Uecker, Jeremy. 2009. 'Catholic Schooling, Protestant Schooling, and Religious Commitment in Young Adulthood.' Journal for the Scientific Study of Religion. 48:2 353-367.	Journal for the Scientific Study of Religion	2009	1	and how Catholic and Protestant schools influence the religious lives of their students once they have graduated is unclear. Methodological limitations and inconsistencies in previous studies have resulted in confusing and often contradictory findings. Using data from two waves of the National Longitudinal Study of Adolescent Health (N = 11,212), I compare the religious lives of young adults who attended Catholic, Protestant, and secular schools as adolescents. The results suggest that Protestant schoolers are far more religious as young adults than those who attended a secular school, a difference that is at least partially explained by the schools' religious environment. But young adults who attended Catholic schools report levels of religiosity that are similar to those educated in a secular school, and are actually lower for some outcomes. Studies of religious schoolers that ignore the religious tradition of the school overlook these differing effects and forfeit statistical explanatory power.	1	Jeremy E. Uecker
Ahmed, Ali. 2009. 'Are Religious People More Prosocial? a Quasi-experimental Study With Madrasah Pupils in a Rural Community in India.' Journal for the Scientific Study of Religion. 48:2 368-374.	Journal for the Scientific Study of Religion	2009	9	Using quasi-experimental data, this article examines the relationship between religiosity and prosocial behavior. In contrast to previous studies that identify religious people by how often they attend religious services or by their self-reported religiosity, this study compares the behavior of highly devout students who are preparing to enter the clergy to the behavior of other students in a public goods game and in the dictator game. The results show that religious students were significantly more cooperative in the public goods game and significantly more generous in the dictator game than other students.	1	Ali M. Ahmed
Ruback, R., Neena Kohli & Janak Pandey. 2009. 'Hindus' Evaluations of Hindus and Muslims: Religious Leaders and Pilgrims at the Magh Mela.' Journal for the Scientific Study of Religion. 48:2 375-385.	Journal for the Scientific Study of Religion	2009	0	Two studies examined religious and political predictors of Hindus' attitudes toward Hindus and Muslims. In the first study, data came from interviews with 311 leaders of religious groups encamped at the Magh Mela, an annual religious gathering held at the confluence of the Ganges and Yamuna Rivers in northern India. Results indicated that most of the indicators of religious involvement were positively related to favoritism of the ingroup (Hindus) rather than devaluation of the outgroup (Muslims). In contrast, affiliation with the Hindu-nationalist political party (Bharatiya Janata Party) was related to devaluation of Muslims rather than favoritism of Hindus. In the second study, which involved interviews with 107 kalpavasis (pilgrims) who visited a subsequent Mela, results indicated, consistent with the first study, that religious beliefs were positively related to favoritism of Hindus. A religious behavior, frequency of worship, was related to negative evaluations of Muslims. Overall, religious leaders and kalpavasis did not differ in their ratings of Muslims, but, congruent with the notion that the more strongly one identifies with the ingroup, the more impact it will have, religious leaders evaluated Hindus significantly more positively than did kalpavasis.	3	R. Barry Ruback; Neena Kohli; Janak Pandey
Carpenter, Thomas & Margaret Marshall. 2009. 'an Examination of Religious Priming and Intrinsic Religious Motivation in the Moral Hypocrisy Paradigm.' Journal for the Scientific Study of Religion. 48:2 386-393.	Journal for the Scientific Study of Religion	2009	8	Reliable individual differences have not yet been identified in moral hypocrisy. This research examined whether intrinsic religious motivation combined with an experimental religious priming manipulation would predict decreased moral hypocrisy. A sample of Christian college students (N = 142) completed the Religious Orientation Scale-Revised, and the moral motivation paradigm, which tests whether participants will act in accordance with their moral beliefs at a cost to themselves. Half the participants received religious priming prior to the procedure. Intrinsic religiosity predicted decreased moral hypocrisy, but only when religiosity was primed. Findings support Allport's view of intrinsic religiosity, but with an emphasis on cognitive processes in addition to motivational ones.	2	Thomas P. Carpenter; Margaret A. Marshall
Santiago, Jose. 2009. 'From ``civil Religion'' to Nationalism as the Religion of Modern Times: Rethinking a Complex Relationship.' Journal for the Scientific Study of Religion. 48:2 394-401.	Journal for the Scientific Study of Religion	2009	2	Interest in civil religion periodically resurfaces in the academic world with renewed force, reflected in new theoretical contributions and empirical studies. Due to its long history, this concept has been given different interpretations and has been related to other social phenomena. One of these is nationalism. Several theoreticians have sought to explain nationalism as a manifestation of ``civil religion'' in modern times. This article examines the relationship between (civil) religion and nationalism. A brief review of the ideas of the main authors who have theorized about this relationship is followed by a criticism of theories concerning civil religion and nationalism as the religion of modern times. I demonstrate the significant shortcomings of those theories from a three-fold perspective: definitional, theoretical, and empirical-methodological.	1	Jose Santiago
Kenney, J. & Don Clairmont. 2009. 'Using the Victim Role as Both Sword and Shield the Interactional Dynamics of Restorative Justice Sessions.' Journal of Contemporary Ethnography. 38:3 279-307.	Journal of Contemporary Ethnography	2009	2	Recently, criminal justice professionals have advocated restorative justice as an alternative to traditional punitive practices. Extant research has not examined the strategic interpersonal dynamics between victims, offenders, supporters, and facilitators during restorative justice sessions. Our ethnographic study addresses this gap. Building on studies of emotion in reintegrative shaming, we explore how shaming emotions are dramaturgically mediated by the rhetorical use of victim roles. We suggest that this micropolitical shame management facilitates apparently meaningful outcomes, undermines them, or results in agreements based more on realpolitik than reintegration. Our data are derived from detailed field notes at 28 youth restorative justice sessions in a mid-sized Canadian city. Our findings reveal a different picture than the frequently idealized images of restorative justice, thus underscoring the need for further analysis in this important area of criminal justice.	2	J. Scott Kenney; Don Clairmont
